﻿id,nom,adresse,type_sport,latitude,longitude,gratuit,handicap_access,arrondissement
E001I751140006,TERRAIN DE PETANQUE,"PLACE GILBERT PERROY, 75014 Paris 14e Arrondissement",terrain de pétanque,48.83219,2.32546,1,1,Paris
E001I751170034,TERRAIN MULTISPORTS,"25 BIS RUE JEAN LECLAIRE, 75017 Paris 17e Arrondissement",multisports/city-stades,48.89603,2.32554,1,1,Paris
E001I751170050,CITY-STADE,"216 BOULEVARD PEREIRE, 75017 Paris 17e Arrondissement",multisports/city-stades,48.8789,2.28606,1,1,Paris
E004I751180005,2 TERRAINS DE HANDBALL 2,"56 RUE D'AUBERVILLIERS, 75018 Paris 18e Arrondissement",terrain de handball,48.88895,2.36676,1,1,Paris
E001I751120018,TERRAIN DE PETANQUE,"51 BOULEVARD DE PICPUS, 75012 Paris 12e Arrondissement",terrain de pétanque,48.84422,2.40198,1,1,Paris
E001I751120080,PISTE CYCLABLE,"ROUTE ROYALE DE BEAUTE-ROUTE BOURBON BOIS DE VINCENNES, 75012 Paris 12e Arrondissement",aire mixte (décollage et atterissage),48.8338,2.44491,1,1,Paris
E001I751130026,FOOTBALL A 7 SYNTHETIQUE,"59 RUE DUNOIS, 75013 Paris 13e Arrondissement",terrain de soccer,48.83211,2.36633,1,1,Paris
E001I751190004,TERRAIN MULTISPORTS,"15 CITE JANDELLE, 75019 Paris 19e Arrondissement",multisports/city-stades,48.8753,2.37955,1,1,Paris
E001I751190007,PLATEAU MULTIPORTS,"26 RUE ARCHEREAU, 75019 Paris 19e Arrondissement",multisports/city-stades,48.8905,2.37371,1,1,Paris
E002I751190062,TERRAIN DE HANDBALL,"176 BOULEVARD MACDONALD, 75019 Paris 19e Arrondissement",terrain de handball,48.89956,2.37519,1,false,Paris
E003I751200006,TERRAIN DE BASKET-BALL,"1 RUE PAUL MEURICE, 75020 Paris 20e Arrondissement",basket,48.87418,2.41178,1,false,Paris
E001I751200013,TERRAIN DE PETANQUE,"26  RUE DE NOISY LE SEC, 75020 Paris 20e Arrondissement",terrain de pétanque,48.87223,2.41328,1,1,Paris
E001I751200045,TERRAIN MULTISPORTS,"4 RUE DU TRANSVAAL, 75020 Paris 20e Arrondissement",multisports/city-stades,48.871284015480114,2.386463843272395,1,1,Paris
E001I751190059,TERRAIN MULTISPORTS,"12 RUE DU MAROC, 75019 Paris 19e Arrondissement",multisports/city-stades,48.8863,2.37033,1,1,Paris
E001I751190068,TERRAIN MULTISPORTS,"19 BD DE LA VILETTE, 75019 Paris 19e Arrondissement",multisports/city-stades,48.873164,2.375644,1,1,Paris
E002I751180049,TERRAIN  DE  FOOTBALL,"22 RUE RAYMOND QUENEAU, 75018 Paris 18e Arrondissement",terrain de soccer,48.89606,2.36112,1,false,Paris
E001I751170054,TERRAIN DE FOOTBALL,"147 RUE CARDINET, 75017 Paris 17e Arrondissement",foot,48.89195,2.31251,1,1,Paris
E003I751140036,SKATE PARK,"3 AVENUE MAURICE D'OCAGNE, 75014 Paris 14e Arrondissement",skatepark,48.82302,2.31403,1,1,Paris
E001I751140053,CITY-STADE,"RUE DU MOULIN VERT, 75014 Paris 14e Arrondissement",multisports/city-stades,48.83147,2.32031,1,1,Paris
E001I751150071,CITY STADE,"RUE DU CLOS FEUQUIERES (RUE DESNOUETTES), 75015 Paris 15e Arrondissement",multisports/city-stades,48.83703361451353,2.29007899755743,1,1,Paris
E001I751140004,TERRAIN DE PETANQUE,"11 RUE  DES THERMOPYLES, 75014 Paris 14e Arrondissement",terrain de pétanque,48.83215,2.31937,1,false,Paris
E001I751130019,TERRAIN DE FOOTBALL SYNTHETIQUE,"1 AVENUE BOUTROUX, 75013 Paris 13e Arrondissement",foot,48.82192,2.37732,false,1,Paris
E001I751130038,SKATEPARK,"39 BOULEVARD VINCENT AURIOL, 75013 Paris 13e Arrondissement",skatepark,48.83605,2.37095,1,1,Paris
E001I751140052,CITY-STADE,"RUE SAILLARD / RUE MOUTON DUVERNET, 75014 Paris 14e Arrondissement",multisports/city-stades,48.83204,2.32665,1,1,Paris
E001I751190045,TERRAIN DE SPORTS,"BD D'ALGERIE, 75019 Paris 19e Arrondissement",multisports/city-stades,48.881,2.40519,1,false,Paris
E001I751200023,TERRAIN DE FOOTBALL,"13-15 RUE MOURAUD, 75020 Paris 20e Arrondissement",multisports/city-stades,48.855465799576905,2.407234311103821,1,false,Paris
E001I751170013,LIGNE DROITE,"108 RUE LEMERCIER, 75017 Paris 17e Arrondissement",athletisme,48.89057,2.31843,1,1,Paris
E001I751190002,TERRAIN DE BASKET-BALL,"24 RUE EDOUARD PAILLERON, 75019 Paris 19e Arrondissement",basket,48.87979,2.37776,1,1,Paris
E001I751100006,STREET BASKET,"146 QUAI DE JEMMAPES, 75010 Paris 10e Arrondissement",basket,48.87678,2.36557,1,1,Paris
E002I751100006,ROLLER SKATE,"146 QUAI DE JEMMAPES, 75010 Paris 10e Arrondissement",skatepark,48.87703,2.36576,1,1,Paris
E001I751110045,TERRAIN DE PETANQUE,"1 BOULEVARD JULES FERRY, 75011 Paris 11e Arrondissement",terrain de pétanque,48.86648,2.36907,1,1,Paris
E001I751030015,TERRAIN DE PETANQUE,"93 BIS BOULEVARD DE SEBASTOPOL, 75003 Paris 3e Arrondissement",terrain de pétanque,48.86701,2.35399,1,1,Paris
