[2025-11-20 09:23:20] | TEST_CLI        | console_user         | SUCCESS    | Simulation de test de log
[2025-11-20 10:02:46] | REGISTER        | louhichielias94@gmail.com | SUCCESS    | New user created
[2025-11-20 10:03:00] | LOGIN           | louhichielias94@gmail.com | FAILURE    | Invalid credentials
[2025-11-20 10:06:52] | LOGIN           | louhichielias94@gmail.com | FAILURE    | Invalid credentials
[2025-11-20 10:07:03] | LOGIN           | louhichielias94@gmail.com | FAILURE    | Invalid credentials
[2025-11-20 10:07:13] | LOGIN           | louhichielias94@gmail.com | SUCCESS    | Role: 0
[2025-11-20 13:33:06] | LOGIN           | zaproxy@example.com  | FAILURE    | Invalid credentials
[2025-11-20 13:44:13] | LOGIN           | zaproxy@example.com  | FAILURE    | Invalid credentials
[2025-11-20 13:48:17] | LOGIN           | zaproxy@example.com  | FAILURE    | Invalid credentials
[2025-11-20 13:49:40] | LOGIN           | zaproxy@example.com  | FAILURE    | Invalid credentials
[2025-11-20 14:07:52] | CSRF            | Unknown              | FAILURE    | Invalid token on Contact
[2025-11-20 14:07:52] | CSRF            | Unknown              | FAILURE    | Invalid token on Login
[2025-11-20 14:07:52] | CSRF            | Unknown              | FAILURE    | Invalid token on Register
[2025-11-20 14:07:52] | CSRF            | Unknown              | FAILURE    | Invalid token on Contact
[2025-11-20 14:07:52] | CSRF            | Unknown              | FAILURE    | Invalid token on Login
[2025-11-20 14:07:52] | CSRF            | Unknown              | FAILURE    | Invalid token on Contact
[2025-11-20 14:07:52] | CSRF            | Unknown              | FAILURE    | Invalid token on Register
[2025-11-20 14:07:52] | CSRF            | Unknown              | FAILURE    | Invalid token on Contact
[2025-11-20 14:07:52] | CSRF            | Unknown              | FAILURE    | Invalid token on Login
[2025-11-20 14:07:52] | CSRF            | Unknown              | FAILURE    | Invalid token on Register
[2025-11-20 14:07:52] | CSRF            | Unknown              | FAILURE    | Invalid token on Contact
[2025-11-20 14:07:52] | CSRF            | Unknown              | FAILURE    | Invalid token on Login
[2025-11-20 14:07:52] | CSRF            | Unknown              | FAILURE    | Invalid token on Register
[2025-11-20 14:07:52] | CSRF            | Unknown              | FAILURE    | Invalid token on Contact
[2025-11-20 14:07:52] | CSRF            | Unknown              | FAILURE    | Invalid token on Contact
[2025-11-20 14:07:52] | CSRF            | Unknown              | FAILURE    | Invalid token on Register
[2025-11-20 14:07:52] | CSRF            | Unknown              | FAILURE    | Invalid token on Login
[2025-11-20 14:07:52] | CSRF            | Unknown              | FAILURE    | Invalid token on Contact
[2025-11-20 14:07:52] | CSRF            | Unknown              | FAILURE    | Invalid token on Register
[2025-11-20 14:07:52] | CSRF            | Unknown              | FAILURE    | Invalid token on Login
[2025-11-20 14:07:52] | CSRF            | Unknown              | FAILURE    | Invalid token on Contact
[2025-11-20 14:07:52] | CSRF            | Unknown              | FAILURE    | Invalid token on Login
[2025-11-20 14:07:52] | CSRF            | Unknown              | FAILURE    | Invalid token on Register
[2025-11-20 14:07:52] | CSRF            | Unknown              | FAILURE    | Invalid token on Contact
[2025-11-20 14:07:52] | CSRF            | Unknown              | FAILURE    | Invalid token on Login
[2025-11-20 14:07:52] | CSRF            | Unknown              | FAILURE    | Invalid token on Register
[2025-11-20 14:07:52] | CSRF            | Unknown              | FAILURE    | Invalid token on Login
[2025-11-20 14:07:52] | CSRF            | Unknown              | FAILURE    | Invalid token on Register
[2025-11-20 14:07:52] | CSRF            | Unknown              | FAILURE    | Invalid token on Register
[2025-11-20 14:07:52] | CSRF            | Unknown              | FAILURE    | Invalid token on Login
[2025-11-20 14:07:52] | LOGIN           | http://www.google.com/ | FAILURE    | Invalid credentials
[2025-11-20 14:07:52] | LOGIN           | http://www.google.com:80/ | FAILURE    | Invalid credentials
[2025-11-20 14:07:52] | LOGIN           | http://www.google.com | FAILURE    | Invalid credentials
[2025-11-20 14:07:52] | LOGIN           | http://www.google.com/search?q=ZAP | FAILURE    | Invalid credentials
[2025-11-20 14:07:52] | LOGIN           | http://www.google.com:80/search?q=ZAP | FAILURE    | Invalid credentials
[2025-11-20 14:07:52] | LOGIN           | www.google.com/      | FAILURE    | Invalid credentials
[2025-11-20 14:07:52] | LOGIN           | www.google.com:80/   | FAILURE    | Invalid credentials
